filename,total_nloc,avg_nloc,avg_ccn,avg_token,function_cnt,ternary,LLC_0,LLC_10,LLC_20,LLC_30,LLC_40,rel_pub,rel_priv,rel_prot,sin_comm,sin_spell_err,multi_comm,doc_comm,sin_space,db_space,tab,total_var_count,avg_var_length,num_type1_var,num_type2_var,num_type3_var,num_var_misspell,total_num_tokens
jfiles/000.java,113.0,54.0,10.5,393.5,2.0,0.0,94.0,2.0,19.0,24.0,24.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,240.0,11.0,377.0,34.0,2.2058823529411766,32.0,2.0,0.0,2.0,494.0
jfiles/001.java,157.0,25.333333333333332,3.5,185.33333333333334,6.0,0.0,107.0,14.0,24.0,17.0,66.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,1305.0,516.0,145.0,77.0,5.0519480519480515,69.0,8.0,0.0,18.0,524.0
jfiles/002.java,44.0,19.5,3.5,120.5,2.0,0.0,39.0,1.0,10.0,8.0,10.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,118.0,26.0,85.0,18.0,3.0,16.0,2.0,0.0,0.0,123.0
jfiles/003.java,81.0,17.5,2.5,130.75,4.0,0.0,51.0,3.0,17.0,11.0,19.0,75.0,12.5,12.5,1.0,0.0,0.0,0.0,1515.0,693.0,34.0,25.0,3.96,25.0,0.0,0.0,4.0,275.0
jfiles/004.java,61.0,12.5,1.75,89.75,4.0,0.0,34.0,3.0,13.0,9.0,20.0,75.0,12.5,12.5,1.0,0.0,0.0,0.0,773.0,326.0,19.0,31.0,4.193548387096774,29.0,2.0,0.0,4.0,189.0
jfiles/005.java,334.0,34.888888888888886,5.777777777777778,208.77777777777777,9.0,0.0,205.0,26.0,63.0,52.0,82.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,3759.0,1565.0,0.0,46.0,5.760869565217392,24.0,21.0,0.0,17.0,964.0
jfiles/006.java,334.0,34.888888888888886,5.777777777777778,208.77777777777777,9.0,0.0,205.0,26.0,63.0,52.0,82.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,3761.0,1565.0,0.0,46.0,5.760869565217392,24.0,21.0,0.0,17.0,964.0
jfiles/007.java,88.0,12.166666666666666,2.3333333333333335,52.5,6.0,0.0,75.0,4.0,17.0,11.0,16.0,75.0,0.0,25.0,1.0,0.0,0.0,0.0,767.0,294.0,0.0,12.0,4.583333333333333,9.0,1.0,0.0,2.0,171.0
jfiles/008.java,64.0,59.0,9.0,378.0,1.0,0.0,49.0,4.0,12.0,5.0,17.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1128.0,499.0,5.0,21.0,5.476190476190476,17.0,4.0,0.0,2.0,180.0
jfiles/009.java,157.0,149.0,20.0,890.0,1.0,0.0,103.0,6.0,31.0,16.0,44.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,2491.0,1084.0,1.0,46.0,5.3478260869565215,28.0,18.0,0.0,4.0,375.0
jfiles/010.java,69.0,63.0,9.0,321.0,1.0,0.0,49.0,3.0,13.0,6.0,18.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1004.0,428.0,2.0,18.0,6.888888888888889,12.0,4.0,2.0,6.0,146.0
jfiles/011.java,355.0,347.0,58.0,3121.0,1.0,0.0,188.0,30.0,48.0,41.0,176.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,3500.0,1397.0,264.0,218.0,7.564220183486238,112.0,102.0,4.0,26.0,1700.0
